date,currency_pair,open,high,low,close,adjusted_close,volume,source
2026-04-09,CNH/USD,0.14640924018,0.146539255669,0.146167417236,0.146475506366,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-10,CNH/USD,0.146491814037,0.146608648737,0.146324832348,0.146528948992,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-12,CNH/USD,0.146300427929,0.146313485421,0.146130038198,0.146212297331,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-13,CNH/USD,0.146271324531,0.146709525409,0.146129824659,0.146692523669,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-14,CNH/USD,0.14664519781,0.146939111371,0.14664304736,0.146852797693,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-15,CNH/USD,0.14686164018,0.146882995943,0.146579207739,0.146682195422,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-16,CNH/USD,0.146710816842,0.146785974307,0.146481514033,0.146599621773,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-17,CNH/USD,0.146587372671,0.146849131608,0.146424675486,0.146713399775,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-19,CNH/USD,0.146557081052,0.146573192056,0.146457057326,0.146501686234,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-20,CNH/USD,0.146561162171,0.146763785155,0.146457057326,0.146733635898,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-21,CNH/USD,0.146735789006,0.146812696362,0.146346460611,0.146471644554,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-22,CNH/USD,0.146547416149,0.146596613032,0.146352029317,0.146397880159,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-23,CNH/USD,0.14643346649,0.146503403274,0.14621422138,0.146314769891,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-24,CNH/USD,0.146421030745,0.146421030745,0.146196265563,0.146335966893,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-26,CNH/USD,0.146297217427,0.146297217427,0.146236672355,0.146255493722,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-27,CNH/USD,0.146297217427,0.146652509811,0.146236672355,0.14650919858,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-28,CNH/USD,0.146546127592,0.146548060436,0.146144987519,0.14620652549,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-29,CNH/USD,0.146221276658,0.146392093656,0.146004797718,0.146047658272,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-04-30,CNH/USD,0.14611103562,0.146467353891,0.146039766628,0.146384807599,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-01,CNH/USD,0.14639680855,0.146566962048,0.146289512797,0.146407954051,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-03,CNH/USD,0.146498466894,0.146502759379,0.14639702287,0.146409025824,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-04,CNH/USD,0.146487093022,0.146730191057,0.146313271345,0.146396165592,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-05,CNH/USD,0.14641438492,0.146503188642,0.146288228771,0.146466066742,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-06,CNH/USD,0.146490526458,0.146934793277,0.146455984851,0.146774986607,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-07,CNH/USD,0.146790068184,0.147154907028,0.146774124896,0.146874366604,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-05-08,CNH/USD,0.146910184989,0.147155123574,0.14688191722,0.147139317391,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
